feedback_id,concept_id,customer_id,customer_comments,pain_point_statements,objection_themes,requested_capabilities
1,C008,CUST0050,"Not sure it fully solves Workforce Planning yet, but Talent Intelligence Platform is on the right track.",Scaling Workforce Planning operations with headcount is not sustainable.,Our IT team flagged concerns about on-premise vs. cloud deployment.,Mobile-friendly interface for field CHRO access.
2,C010,CUST0038,We'd like to see more customisation options before committing to Demand Forecasting Suite.,Lack of real-time visibility into Inventory Optimization is a persistent operational challenge.,Would need a longer pilot to validate the Inventory Optimization outcomes.,SLA-backed uptime guarantees for production deployment.
3,C002,CUST0040,"The Contract Risk Analyzer prototype shows promise, especially for Risk Mitigation, though it needs more polish.",Data quality issues in Risk Mitigation lead to costly mistakes for our team.,Worried about model accuracy in edge cases relevant to our use of Risk Mitigation.,Automated reporting to support Risk Mitigation governance requirements.
4,C003,CUST0011,Interesting approach to Revenue Optimization. The Pricing Director had questions about scalability.,Our Pricing Director spends too much time on Revenue Optimization instead of strategic work.,The pricing model needs to be restructured for our volume.,Integration with our existing CRM / ERP stack.
5,C006,CUST0001,We'd like to see more customisation options before committing to Fraud Pattern Classifier.,Regulatory pressure around Fraud Prevention is increasing — we need a faster compliance path.,Would need a longer pilot to validate the Fraud Prevention outcomes.,Mobile-friendly interface for field Risk Analytics Manager access.
6,C010,CUST0003,Interesting approach to Inventory Optimization. The Demand Planner had questions about scalability.,Lack of real-time visibility into Inventory Optimization is a persistent operational challenge.,Unclear how quickly the Demand Planner team could adopt this tool.,Mobile-friendly interface for field Demand Planner access.
7,C003,CUST0044,Interesting approach to Revenue Optimization. The Pricing Director had questions about scalability.,Lack of real-time visibility into Revenue Optimization is a persistent operational challenge.,Would need a longer pilot to validate the Revenue Optimization outcomes.,Role-based access control for different team members.
8,C014,CUST0008,"Not sure it fully solves Asset Management yet, but Field Service Optimizer is on the right track.",Data quality issues in Asset Management lead to costly mistakes for our team.,Budget approval cycle is long — need stronger business case.,Automated reporting to support Asset Management governance requirements.
9,C005,CUST0005,Really impressed by how Clinical Trial Matching AI handles Patient Recruitment. Our Clinical Operations Head loved the demo.,Our Clinical Operations Head spends too much time on Patient Recruitment instead of strategic work.,Unclear how quickly the Clinical Operations Head team could adopt this tool.,SLA-backed uptime guarantees for production deployment.
10,C019,CUST0019,Initial reaction from our MRO Director team was positive — the Equipment Reliability workflow is intuitive.,We lose significant time each week to manual Equipment Reliability workflows — automation is overdue.,Our IT team flagged concerns about on-premise vs. cloud deployment.,Automated reporting to support Equipment Reliability governance requirements.
11,C013,CUST0018,"Not sure it fully solves Compliance Automation yet, but Regulatory Change Monitor is on the right track.",Regulatory pressure around Compliance Automation is increasing — we need a faster compliance path.,Our IT team flagged concerns about on-premise vs. cloud deployment.,Integration with our existing CRM / ERP stack.
12,C020,CUST0003,We'd like to see more customisation options before committing to Real-Time Translation Layer.,Existing tools for Cross-Language Collaboration don't integrate with our stack — fragmentation is a pain point.,Would need a longer pilot to validate the Cross-Language Collaboration outcomes.,Automated reporting to support Cross-Language Collaboration governance requirements.
